phase,frame_ms,skin_ms,step_ms,graph_ms,path_ms,groups
"1 · Chia phần giữ A",16.6676,6.0656,0.7858,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6678,6.0864,0.8549,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6658,5.9907,0.8310,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6692,5.8826,0.9056,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6633,5.9633,0.7541,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6678,5.6642,0.9206,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6656,5.8006,0.9357,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6666,6.0073,0.8239,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6671,5.8316,0.8362,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6680,6.0177,1.7085,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6656,6.0287,0.9269,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6665,5.9657,0.8049,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6669,6.1354,0.8082,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6668,5.7730,0.7984,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6737,5.8417,1.0462,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6659,6.0393,1.1054,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6675,6.1574,0.8237,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6665,5.8842,0.8364,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6687,5.7252,0.8037,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6650,5.7944,0.9095,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6672,5.7913,0.9150,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6760,6.0801,0.9694,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6660,6.2054,0.8781,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6683,6.2074,0.8970,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6667,6.1281,0.8743,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6668,6.0898,1.1432,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6662,6.1216,0.9429,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6666,5.8398,1.2557,0.0000,0.0000,1
"1 · Chia phần giữ A",16.7053,5.9031,1.0201,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6632,5.8488,1.2497,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6682,5.6594,1.0229,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6658,5.5379,1.0989,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6660,5.5134,0.8922,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6670,5.5401,0.8324,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6653,5.7078,0.8830,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6687,5.8051,0.9727,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6653,5.8395,0.8566,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6670,5.5815,0.8483,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6663,5.9885,0.9056,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6733,5.6146,1.1755,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6655,5.4791,0.7647,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6674,5.9231,0.8139,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6670,5.4645,0.8804,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6672,6.1175,0.8066,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6726,5.8511,0.8855,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6653,5.5443,1.1959,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6637,5.3787,1.0487,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6653,5.3557,0.7838,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6657,5.4983,0.8056,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6662,5.8729,0.7861,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6669,5.9065,0.8177,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6714,5.7805,0.7742,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6663,5.9554,0.7754,0.0000,0.3916,1
"1 · Chia phần giữ A",16.6816,6.0195,0.8156,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6665,5.8801,0.8425,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6670,6.2072,0.9697,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6681,6.2482,1.0594,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6648,5.8709,0.8449,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6671,5.8757,0.9355,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6664,6.0015,0.8574,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6823,5.8741,0.8940,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6684,6.0773,0.8709,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6628,5.9973,0.9417,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6675,5.9446,0.9469,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6669,6.0987,0.9999,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6668,5.9510,0.9551,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6667,6.0393,0.8369,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6670,5.9869,1.0386,0.0000,0.0000,1
