phase,frame_ms,skin_ms,step_ms,graph_ms,path_ms,groups
1 · Chia phần giữ A,16.6652,6.1092,0.7407,0.0000,0.0000,1
1 · Chia phần giữ A,16.6670,6.0869,0.7292,0.0000,0.0000,1
1 · Chia phần giữ A,16.6766,6.2128,0.7248,0.0000,0.0000,1
1 · Chia phần giữ A,16.6661,6.1162,1.5521,0.0000,0.0000,1
1 · Chia phần giữ A,16.6688,6.2508,0.8881,0.0000,0.0000,1
1 · Chia phần giữ A,16.6640,6.2880,0.7756,0.0000,0.0000,1
1 · Chia phần giữ A,16.6670,6.1357,0.8089,0.0000,0.0000,1
1 · Chia phần giữ A,16.6673,6.0964,0.7924,0.0000,0.0000,1
1 · Chia phần giữ A,16.6663,6.4650,0.7827,0.0000,0.0000,1
1 · Chia phần giữ A,16.6669,6.4222,0.8842,0.0000,0.0000,1
1 · Chia phần giữ A,16.6698,7.0537,0.9384,0.0000,0.0000,1
1 · Chia phần giữ A,16.6654,6.2426,0.9504,0.0000,0.0000,1
1 · Chia phần giữ A,16.6650,6.0233,0.8019,0.0000,0.0000,1
1 · Chia phần giữ A,16.6668,6.0803,0.8563,0.0000,0.0000,1
1 · Chia phần giữ A,16.6667,6.0209,0.8155,0.0000,0.0000,1
1 · Chia phần giữ A,16.6667,6.0881,0.8067,0.0000,0.0000,1
1 · Chia phần giữ A,16.6668,5.9605,0.8389,0.0000,0.0000,1
1 · Chia phần giữ A,16.6676,6.3315,0.8220,0.0000,0.0000,1
1 · Chia phần giữ A,16.6665,6.1636,0.8866,0.0000,0.0000,1
1 · Chia phần giữ A,16.6670,6.1021,0.8319,0.0000,0.0000,1
1 · Chia phần giữ A,16.6660,6.0177,0.8589,0.0000,0.0000,1
1 · Chia phần giữ A,16.6674,6.0285,0.8375,0.0000,0.0000,1
1 · Chia phần giữ A,16.6680,6.0721,0.8638,0.0000,0.0000,1
1 · Chia phần giữ A,16.6657,6.0078,0.8726,0.0000,0.0000,1
1 · Chia phần giữ A,16.6691,6.0214,0.9658,0.0000,0.0000,1
1 · Chia phần giữ A,16.6648,6.0935,1.0135,0.0000,0.0000,1
1 · Chia phần giữ A,16.6662,5.8686,0.8862,0.0000,0.0000,1
1 · Chia phần giữ A,16.6667,5.7804,1.1418,0.0000,0.0000,1
1 · Chia phần giữ A,16.6704,5.5900,0.9248,0.0000,0.0000,1
1 · Chia phần giữ A,16.6635,5.8165,0.8411,0.0000,0.0000,1
1 · Chia phần giữ A,16.6692,5.7115,0.9745,0.0000,0.0000,1
1 · Chia phần giữ A,16.6648,6.0350,0.8596,0.0000,0.0000,1
1 · Chia phần giữ A,16.6684,6.0642,0.8398,0.0000,0.0000,1
1 · Chia phần giữ A,16.6660,6.1513,1.0253,0.0000,0.0000,1
1 · Chia phần giữ A,16.6649,6.0619,0.7929,0.0000,0.0000,1
1 · Chia phần giữ A,16.6664,5.8902,0.7804,0.0000,0.0000,1
1 · Chia phần giữ A,16.6665,5.9523,0.7564,0.0000,0.0000,1
1 · Chia phần giữ A,16.6674,6.0533,0.7405,0.0000,0.0000,1
1 · Chia phần giữ A,16.6667,5.9973,0.7445,0.0000,0.0000,1
1 · Chia phần giữ A,16.6669,5.6420,0.8424,0.0000,0.0000,1
1 · Chia phần giữ A,16.6660,5.6429,0.7640,0.0000,0.0000,1
1 · Chia phần giữ A,16.6665,5.7572,0.7429,0.0000,0.0000,1
1 · Chia phần giữ A,16.6676,5.6808,0.7697,0.0000,0.0000,1
1 · Chia phần giữ A,16.6665,5.6624,0.8008,0.0000,0.0000,1
1 · Chia phần giữ A,16.6679,5.6065,0.8051,0.0000,0.0000,1
1 · Chia phần giữ A,16.6660,5.7439,0.8194,0.0000,0.0000,1
1 · Chia phần giữ A,16.6680,5.4666,0.8121,235.6272,0.7263,1
1 · Chia phần giữ A,249.4686,6.0379,4.3829,0.0000,0.0000,1
1 · Chia phần giữ A,16.6667,5.6692,0.7159,0.0000,0.0000,1
1 · Chia phần giữ A,16.6674,5.7306,0.7380,0.0000,0.0000,1
1 · Chia phần giữ A,17.2503,5.9661,0.8035,0.0000,0.0000,1
1 · Chia phần giữ A,16.6658,6.1725,0.7809,0.0000,0.0000,1
1 · Chia phần giữ A,16.6665,6.1837,0.7430,0.0000,0.0000,1
1 · Chia phần giữ A,16.6676,5.7770,0.7548,0.0000,0.0000,1
1 · Chia phần giữ A,16.6666,5.7737,0.7567,0.0000,0.0000,1
1 · Chia phần giữ A,16.6674,5.5683,0.8052,0.0000,0.0000,1
1 · Chia phần giữ A,16.6662,6.0530,0.7991,0.0000,0.0000,1
1 · Chia phần giữ A,16.6672,6.2077,0.7795,0.0000,0.0000,1
1 · Chia phần giữ A,16.6662,6.5250,0.7947,0.0000,0.0000,1
1 · Chia phần giữ A,16.6673,6.2287,0.7648,0.0000,0.0000,1
1 · Chia phần giữ A,16.6660,6.2511,0.7965,0.0000,0.0000,1
1 · Chia phần giữ A,16.6669,6.3890,0.8048,0.0000,0.0000,1
1 · Chia phần giữ A,16.6667,6.3031,0.7758,0.0000,0.0000,1
1 · Chia phần giữ A,16.6673,6.4825,0.8451,0.0000,0.0000,1
1 · Chia phần giữ A,16.6670,6.2330,0.7997,0.0000,0.0000,1
1 · Chia phần giữ A,16.6666,6.4569,0.8616,0.0000,0.0000,1
1 · Chia phần giữ A,16.6680,6.2513,0.9120,0.0000,0.0000,1
1 · Chia phần giữ A,16.6656,6.3276,0.8210,0.0000,0.0000,1
1 · Chia phần giữ A,16.6655,6.1529,0.7521,0.0000,0.0000,1
1 · Chia phần giữ A,16.6676,6.1926,0.7885,0.0000,0.0000,1
1 · Chia phần giữ A,16.6688,6.2778,0.8379,0.0000,0.0000,1
1 · Chia phần giữ A,16.6789,6.1283,0.8570,0.0000,0.0000,1
1 · Chia phần giữ A,16.6628,6.0517,0.7717,0.0000,0.0000,1
1 · Chia phần giữ A,16.6664,6.2430,0.7880,0.0000,0.0000,1
1 · Chia phần giữ A,16.6668,6.1972,0.7638,0.0000,0.0000,1
1 · Chia phần giữ A,16.6665,6.1464,0.7575,0.0000,0.0000,1
1 · Chia phần giữ A,16.6660,5.9880,0.7636,0.0000,0.0000,1
1 · Chia phần giữ A,16.6672,5.9292,0.7944,0.0000,0.0000,1
1 · Chia phần giữ A,16.6670,6.0601,0.7555,0.0000,0.0000,1
1 · Chia phần giữ A,16.6783,6.3442,0.7716,0.0000,0.0000,1
1 · Chia phần giữ A,16.6651,6.0407,0.7597,0.0000,0.0000,1
1 · Chia phần giữ A,16.6667,6.0403,0.7744,0.0000,0.0000,1
1 · Chia phần giữ A,16.6677,6.1558,0.7654,0.0000,0.0000,1
1 · Chia phần giữ A,16.6660,6.3072,0.7544,0.0000,0.0000,1
1 · Chia phần giữ A,16.6674,6.3014,0.7895,0.0000,0.0000,1
1 · Chia phần giữ A,16.6676,6.0321,0.9742,0.0000,0.0000,1
1 · Chia phần giữ A,16.6654,6.1547,0.7700,0.0000,0.0000,1
1 · Chia phần giữ A,16.6668,6.1578,0.7760,0.0000,0.0000,1
1 · Chia phần giữ A,16.6666,6.1442,0.7675,0.0000,0.0000,1
1 · Chia phần giữ A,16.6672,6.1769,0.7762,0.0000,0.0000,1
1 · Chia phần giữ A,16.6666,6.1323,0.7582,0.0000,0.0000,1
1 · Chia phần giữ A,16.6669,6.3827,0.7789,0.0000,0.0000,1
1 · Chia phần giữ A,16.6665,6.1431,0.7563,0.0000,0.0000,1
1 · Chia phần giữ A,16.6671,6.2638,0.7651,0.0000,0.0000,1
1 · Chia phần giữ A,16.6672,6.1772,0.7883,0.0000,0.0000,1
1 · Chia phần giữ A,16.6663,6.2539,0.7717,0.0000,0.0000,1
1 · Chia phần giữ A,16.6668,6.0711,0.7696,0.0000,0.0000,1
1 · Chia phần giữ A,16.6676,6.5259,0.7543,0.0000,0.0000,1
1 · Chia phần giữ A,16.6650,6.4928,0.7470,0.0000,0.0000,1
1 · Chia phần giữ A,16.6675,6.6323,0.7640,0.0000,0.0000,1
1 · Chia phần giữ A,16.6664,6.4603,0.7507,0.0000,0.0000,1
1 · Chia phần giữ A,16.6670,6.3160,0.7416,0.0000,0.0000,1
1 · Chia phần giữ A,16.6660,6.4952,0.7282,0.0000,0.0000,1
1 · Chia phần giữ A,16.6678,6.4865,0.7267,0.0000,0.0000,1
1 · Chia phần giữ A,16.6760,6.3692,0.7495,0.0000,0.0000,1
1 · Chia phần giữ A,16.6657,6.5705,0.7520,0.0000,0.0000,1
1 · Chia phần giữ A,16.6661,6.5311,0.7525,0.0000,0.0000,1
1 · Chia phần giữ A,16.6673,6.4031,0.7403,0.0000,0.0000,1
1 · Chia phần giữ A,16.6668,6.4927,0.8061,0.0000,0.0000,1
1 · Chia phần giữ A,16.6670,6.5214,0.8201,0.0000,0.0000,1
1 · Chia phần giữ A,16.6664,6.4791,0.8161,0.0000,0.0000,1
