utc,event,level,environment,elapsed_seconds,resets,drags,drag_distance
2026-09-08T16:40:55.2646150Z,level_start,steel-lab-spheremaze,steel-lab-earth,0.000,0,0,0.000
2026-09-08T16:41:11.5695540Z,level_complete,steel-lab-spheremaze,steel-lab-earth,16.305,0,5,1.543
