utc,event,level,environment,elapsed_seconds,resets,drags,drag_distance
2026-09-08T05:49:10.8974410Z,level_start,gb-06,earth,0.000,0,0,0.000
2026-09-08T05:49:33.2121620Z,level_complete,gb-06,earth,22.316,0,11,3.591
